id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
13001215,20150305T000000,130000.0,3.0,1.0,1100,5100,1.0,0,0.0,4.0,7,1100,0,1913,0,98108,47.5231,-122.332,1450,5100
13001795,20141014T000000,319500.0,4.0,2.75,2500,5100,1.5,0,0.0,4.0,7,1420,1080,1907,0,98108,47.523,-122.332,1430,5100
13001991,20140902T000000,207000.0,3.0,2.5,1520,2550,2.0,0,0.0,3.0,7,1520,0,2005,0,98108,47.5245,-122.33,1460,2550
13002460,20150318T000000,205000.0,2.0,1.75,1740,5100,,0,0.0,3.0,6,580,1160,1915,0,98108,47.5211,-122.33,1440,5100
13002495,20140707T000000,295000.0,,1.5,1640,7222,2.0,0,0.0,4.0,7,1640,0,1908,0,98108,47.5215,-122.33,1240,5100
16000015,20150417T000000,219950.0,3.0,1.5,1070,6601,1.0,0,0.0,3.0,6,1070,0,1985,0,98002,47.3115,-122.209,1030,6614
16000200,20141024T000000,250000.0,3.0,2.25,1640,4420,2.0,0,0.0,4.0,7,1640,0,1918,1983,98002,47.311,-122.21,1230,6632
16000397,20141205T000000,189000.0,2.0,1.0,1200,9850,1.0,0,0.0,4.0,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095
16000435,20150316T000000,218500.0,2.0,1.0,1600,8961,1.0,0,0.0,4.0,7,1390,210,1949,0,98002,47.3098,-122.21,1502,6798
16000545,20150312T000000,250000.0,4.0,1.0,1320,11212,1.0,0,0.0,5.0,6,1320,0,1914,0,98002,47.3098,-122.209,1060,6766
23500180,20140505T000000,570000.0,3.0,2.25,2010,6000,1.0,0,0.0,3.0,8,1330,680,1975,0,98052,47.6912,-122.115,2080,8260
23500190,20141008T000000,515000.0,4.0,2.25,2470,7800,1.0,0,0.0,3.0,8,1470,1000,1975,0,98052,47.6913,-122.115,2050,8050
23500220,20141015T000000,550120.0,5.0,2.5,2620,8050,1.0,0,0.0,3.0,8,1520,1100,1975,0,98052,47.6919,-122.115,2030,7676
23520190,20150316T000000,490000.0,3.0,1.75,1470,9750,1.0,0,0.0,4.0,7,1470,0,1978,0,98052,47.6975,-122.12,1800,9600
23520380,20140909T000000,539000.0,3.0,1.75,1790,9860,1.0,0,0.0,4.0,7,1410,380,1978,0,98052,47.6989,-122.12,1820,9555
31000165,20140911T000000,1490000.0,5.0,3.5,3620,7821,2.0,0,2.0,3.0,10,2790,830,1958,2010,98040,47.5738,-122.215,2690,9757
31200020,20150319T000000,1038000.0,5.0,2.75,3050,8904,1.0,0,0.0,4.0,8,1650,1400,1956,0,98040,47.5709,-122.214,2920,8904
34000005,20140618T000000,343566.0,2.0,1.0,1100,4200,1.0,0,0.0,3.0,7,1100,0,1954,0,98136,47.5312,-122.392,1240,4000
34001160,20140919T000000,590000.0,3.0,2.0,3030,9374,1.0,0,1.0,4.0,7,2100,930,1959,0,98136,47.5289,-122.391,1990,6012
34001304,20150410T000000,480000.0,5.0,2.25,2240,5500,1.0,0,0.0,3.0,7,1490,750,1959,0,98136,47.5305,-122.391,2010,6050
34001540,20150423T000000,573300.0,2.0,1.75,1290,6600,,0,2.0,3.0,7,870,420,1951,0,98136,47.531,-122.39,2380,7370
34001765,20150325T000000,699950.0,3.0,3.25,2230,5460,1.0,0,1.0,4.0,8,1430,800,1977,0,98136,47.53,-122.388,2070,5600
37000335,20140814T000000,446450.0,3.0,1.5,1480,7749,1.0,0,0.0,5.0,7,1480,0,1960,0,98126,47.5144,-122.379,1140,5320
37000435,20150214T000000,325000.0,2.0,1.0,1130,5070,1.0,0,0.0,4.0,7,1130,0,1955,0,98146,47.5141,-122.377,860,6300
40000228,20141015T000000,221900.0,2.0,1.0,780,6727,1.0,0,0.0,3.0,6,780,0,1939,0,98168,47.4733,-122.281,1860,10124
40000235,20150414T000000,380000.0,5.0,2.5,2130,8428,2.0,0,0.0,3.0,7,2130,0,2013,0,98168,47.4726,-122.282,1500,11810
40000362,20140506T000000,78000.0,2.0,1.0,780,16344,1.0,0,0.0,1.0,5,780,0,1942,0,98168,47.4739,-122.28,1700,10387
40000471,20140604T000000,170000.0,2.0,1.0,1500,18540,1.0,0,0.0,3.0,8,1500,0,1950,0,98168,47.4727,-122.281,1700,9355
40000553,20150304T000000,250000.0,2.0,1.0,1400,19570,1.5,0,0.0,3.0,6,1100,300,1929,0,98168,47.4724,-122.271,2250,6500
40000669,20150319T000000,499950.0,4.0,2.5,2910,20067,2.0,0,0.0,3.0,9,2910,0,2001,0,98168,47.4714,-122.273,1730,21420
40001065,20140529T000000,250000.0,2.0,1.0,1110,26051,1.0,0,0.0,3.0,6,1110,0,1951,0,98168,47.4711,-122.291,2240,12255
41000454,20140815T000000,130000.0,2.0,1.0,880,9000,1.0,0,0.0,3.0,5,880,0,1928,0,98188,47.4672,-122.291,1410,10000
42000006,20140910T000000,235000.0,5.0,1.0,1500,9282,1.5,0,0.0,5.0,6,1500,0,1966,0,98168,47.4702,-122.281,1520,9639
42000065,20150305T000000,355000.0,2.0,1.0,1450,9150,1.0,0,0.0,4.0,7,1450,0,1965,0,98188,47.4689,-122.277,1440,10636
42000127,20150224T000000,406500.0,,1.5,1970,10080,,0,0.0,3.0,7,1970,0,1966,0,98168,47.4703,-122.276,2240,10080
42000130,20140924T000000,600000.0,5.0,4.5,4440,9784,2.0,0,0.0,3.0,10,4440,0,2012,0,98168,47.4702,-122.275,2720,10080
42000245,20140613T000000,171000.0,,2.0,1520,19672,1.0,0,0.0,3.0,6,1020,500,1920,0,98188,47.4683,-122.281,1810,7840
46100204,20150221T000000,1505000.0,5.0,3.0,3300,33474,1.0,0,3.0,3.0,9,1870,1430,1957,1991,98040,47.5673,-122.21,3836,20953
46100350,20140630T000000,1730000.0,5.0,3.5,5000,26540,2.0,0,3.0,3.0,10,3410,1590,2008,0,98040,47.5665,-122.21,3360,17398
46100504,20140617T000000,2027000.0,4.0,3.75,4100,22798,1.5,0,3.0,,11,2540,1560,1934,1979,98040,47.5648,-122.21,3880,18730
49000051,20150316T000000,350000.0,2.0,1.75,1430,7921,1.0,0,0.0,3.0,7,1430,0,1983,0,98146,47.5088,-122.371,1290,8040
49500090,20141205T000000,372000.0,4.0,1.5,1780,7914,1.5,0,0.0,4.0,7,1780,0,1962,0,98059,47.5142,-122.163,1350,8069
50300090,20140811T000000,398950.0,4.0,3.0,3000,10297,2.0,0,0.0,3.0,8,3000,0,2003,0,98042,47.3684,-122.073,2520,8366
50300220,20150212T000000,363000.0,4.0,2.5,2180,9281,2.0,0,0.0,3.0,8,2180,0,2004,0,98042,47.3673,-122.072,2520,9520
52000067,20141103T000000,495000.0,3.0,3.5,1650,1577,2.0,0,0.0,3.0,7,1100,550,2012,0,98109,47.6302,-122.344,1580,1280
53500020,20150114T000000,248000.0,3.0,2.5,1870,4046,2.0,0,0.0,3.0,7,1870,0,2007,0,98042,47.342,-122.059,2130,4800
53500450,20150309T000000,311850.0,4.0,2.5,1890,4158,2.0,0,0.0,3.0,8,1890,0,2014,0,98042,47.343,-122.056,2720,4549
53500760,20141208T000000,287000.0,4.0,2.5,2660,4082,2.0,0,0.0,3.0,7,2660,0,2010,0,98042,47.3414,-122.055,2390,4876
56000095,20140626T000000,805000.0,3.0,2.75,2600,5875,1.5,0,2.0,5.0,8,1600,1000,1929,0,98116,47.5773,-122.406,2260,5492
59000201,20150505T000000,611206.0,1.0,1.0,1940,6300,1.0,0,3.0,,8,1940,0,1963,0,98116,47.5782,-122.4,2560,6300
59000250,20141203T000000,720000.0,3.0,1.5,2180,5000,1.0,0,3.0,4.0,8,1090,1090,1941,0,98116,47.5787,-122.402,2070,5000
59000445,20140923T000000,590000.0,4.0,2.75,2240,5400,2.0,0,0.0,4.0,7,1540,700,1940,0,98116,47.5785,-122.402,1830,5000
59500050,20141216T000000,324900.0,4.0,2.25,2010,7280,2.0,0,0.0,4.0,8,2010,0,1988,0,98032,47.3585,-122.286,1660,7579
65000085,20140708T000000,430000.0,3.0,2.0,1550,6039,1.0,0,0.0,5.0,7,830,720,1942,0,98126,47.5436,-122.378,1330,6042
65000210,20140626T000000,471000.0,2.0,1.75,1240,6417,1.0,0,0.0,5.0,7,1240,0,1924,0,98126,47.5439,-122.379,1800,6417
65000260,20140820T000000,830000.0,3.0,2.5,3370,6550,2.0,0,2.0,4.0,8,2840,530,1912,2001,98126,47.5442,-122.38,1500,6550
65000400,20141022T000000,570000.0,4.0,3.0,1490,6766,1.5,0,1.0,5.0,7,1490,0,1915,0,98136,47.5446,-122.382,1990,6526
66000070,20150406T000000,315000.0,2.0,1.0,630,6550,1.0,0,0.0,3.0,5,630,0,1918,0,98126,47.5486,-122.38,1420,6550
66000140,20141120T000000,398000.0,3.0,1.0,1480,6550,1.5,0,0.0,4.0,6,1480,0,1925,0,98126,47.5498,-122.381,1200,6550
66000265,20140807T000000,370000.0,2.0,1.0,820,6550,1.0,0,0.0,3.0,7,820,0,1949,2012,98126,47.5478,-122.381,1640,6550
84000105,20140507T000000,255000.0,5.0,2.25,2060,8632,1.0,0,0.0,3.0,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680
84000245,20141120T000000,190000.0,3.0,1.75,1100,9452,1.0,0,0.0,3.0,6,1100,0,1942,0,98146,47.4864,-122.337,1350,9452
84000335,20140626T000000,225000.0,3.0,2.0,1700,11475,1.0,0,0.0,5.0,6,970,730,1945,0,98146,47.4851,-122.338,1560,11475
87000006,20150413T000000,275000.0,4.0,1.75,1680,19405,1.0,0,0.0,4.0,7,1560,120,1959,0,98055,47.4552,-122.202,2000,12900
87000213,20140613T000000,129000.0,2.0,1.0,1150,30184,1.0,0,0.0,3.0,6,1150,0,1950,0,98055,47.4492,-122.2,1670,19684
