sqft,bedrooms,age
1131.0,4,2.9
3044.0,5,14.1
1214.0,3,37.3
1284.0,2,51.5
2418.0,5,0.3
3161.0,3,30.9
1330.0,2,40.6
1638.0,3,1.8
2899.0,1,24.1
3424.0,2,53.7
2152.0,3,40.3
1189.0,5,14.3
838.0,4,51.2
1420.0,4,20.9
1156.0,3,51.2
2630.0,1,17.9
1129.0,2,35.4
2167.0,5,23.8
2675.0,1,16.5
2369.0,5,53.2
1339.0,4,11.3
2971.0,2,5.1
2732.0,4,20.5
2795.0,5,43.1
1154.0,1,48.4
1134.0,1,59.9
3304.0,4,17.8
1873.0,5,24.5
1613.0,1,8.2
2119.0,4,34.5
2590.0,1,59.9
3380.0,4,42.1
1573.0,4,35.7
3297.0,1,23.5
867.0,4,54.9
2299.0,5,29.8
2512.0,5,8.1
1086.0,1,21.9
1179.0,2,4.0
1932.0,2,12.1
3409.0,3,1.1
2409.0,1,27.2
3319.0,5,38.1
2972.0,4,20.6
2062.0,5,25.2
2919.0,1,57.6
848.0,1,45.1
1095.0,5,32.5
3039.0,2,17.1
2951.0,4,53.8
1428.0,5,14.1
2233.0,1,19.5
2436.0,1,54.5
3143.0,1,31.8
2428.0,1,44.5
1914.0,1,35.4
1810.0,5,39.2
1950.0,4,18.0
2560.0,5,14.5
3142.0,5,19.3
2026.0,5,9.3
1469.0,2,52.5
1439.0,2,17.0
2814.0,5,33.7
3005.0,2,47.5
1084.0,1,47.0
980.0,4,26.3
2405.0,5,28.6
1195.0,5,59.7
3027.0,5,40.5
1638.0,1,48.9
1188.0,4,54.2
3287.0,5,47.3
1247.0,4,11.1
1569.0,5,33.7
1215.0,5,6.1
1112.0,3,39.2
857.0,1,57.3
950.0,3,30.8
1272.0,2,26.0
944.0,1,2.2
2396.0,1,57.6
2638.0,4,6.2
1863.0,3,2.5
1659.0,3,14.8
2162.0,4,3.9
3163.0,3,27.3
3098.0,4,31.0
917.0,1,18.8
1290.0,5,3.1
1439.0,3,6.7
1473.0,1,23.1
2342.0,5,3.6
1924.0,4,41.9
933.0,1,12.4
1809.0,1,18.1
2214.0,1,23.6
1075.0,2,25.0
3050.0,1,0.1
940.0,4,6.7
3297.0,3,51.8
1068.0,5,0.1
3078.0,4,30.5
3237.0,4,29.4
3445.0,3,20.0
2965.0,1,25.9
2905.0,1,46.8
2535.0,4,50.5
